Bot Settings, Offer link, Note, Username, Items Offering, Items Want, Offer Value, Want Value, Gain Value
31, https://rocket-league.com/trade/ca0c0a2c0352, | , https://my.playstation.com/profile/ItzMoneyMaker050, ~Octane/Clr:saffron/, ~Credits/Q:1200 ,1300 ,1200 ,100
35, https://rocket-league.com/trade/b5b0a3935b38, | , https://my.playstation.com/profile/z-KaRisma-z, ~Standard/Clr:crimson/ ~Lobo/ ~Centro/ ~Proton/ ~Tsunami Beam/, ~Fennec/ ,1020 ,900 ,120
8, https://rocket-league.com/trade/b046e35a0a35, | , https://my.playstation.com/profile/manwe_123, ~Octane/Clr:forest-green/ ~Wet Paint/, ~Credits/Clr:forest-green/Q:850 ~Credits/Q:300 ,1200 ,1150 ,50
11, https://rocket-league.com/trade/d09fd6b435e4, | , https://my.playstation.com/profile/omar4alahmar, ~Credits/Q:1550, ~Sparkles/Clr:titanium-white/ ,1550 ,1000 ,550
20, https://rocket-league.com/trade/125e3cc275c6, | , https://my.playstation.com/profile/G4brieluj4n, ~Tidal Stream/, ~Credits/Q:180 ,950 ,180 ,770
22, https://rocket-league.com/trade/f7eebab2f83d, | , https://my.playstation.com/profile/vercis-, ~Interstellar/, ~Credits/Q:1500 ,1550 ,1500 ,50
8, https://rocket-league.com/trade/6b9f7d554433, | , https://my.playstation.com/profile/IKHxZ-7, ~Deep Six/Clr:titanium-white/ ~Gernot/Clr:titanium-white/, ~Credits/Q:550 ~Credits/Q:250 ,1000 ,800 ,200
10, https://rocket-league.com/trade/ef088a2455b9, | , https://my.playstation.com/profile/Bklr-1, ~Credits/Q:150 ~Credits/Q:1050, "~Golden Lantern 21/ ~Golden Lantern 21/Q:7" ,1200 ,400 ,800
1, https://rocket-league.com/trade/7af79e7cd2ae, | , https://my.playstation.com/profile/Onizuka_Le_BG, ~HRT Beat/Clr:lime/ ~HRT Beat/Clr:burnt-sienna/ ~HRT Beat/Clr:pink/ ~HRT Beat/Clr:black/ ~HRT Beat/Clr:saffron/ ~HRT Beat/Clr:purple/ ~HRT Beat/Clr:crimson/, ~Credits/Q:100 ,290 ,100 ,190
14, https://rocket-league.com/trade/c862c2b5cdff, | , https://my.playstation.com/profile/SuguledByVeteran, ~Grappler/Clr:lime/, ~Credits/Q:250 ,350 ,250 ,100
21, https://rocket-league.com/trade/e22cde23b4ef, | , https://my.playstation.com/profile/TitaSucks, ~Credits/Q:500, ~Fennec blueprint/ ,500 ,400 ,100
28, https://rocket-league.com/trade/376cbb62d3d4, | , https://my.playstation.com/profile/TitaSucks, ~Credits/Q:1000, ~Fennec/ ,1000 ,900 ,100
37, https://rocket-league.com/trade/73921e2096a6, | , https://my.playstation.com/profile/lucid-_-zz, ~Beach Party/, ~Credits/Q:350 ,450 ,350 ,100
1, https://rocket-league.com/trade/b28c7264345d, | , https://my.playstation.com/profile/tittlewiddle, ~Zhou GFP/Clr:pink/ ~Zhou GFP/Clr:saffron/ ~Zhou GFP/Clr:purple/ ~Shining Barrage II/Clr:saffron/ ~Shining Barrage II/Clr:forest-green/ ~Capacitor II/ ~Ronin GXT/Clr:forest-green/ ~Ronin GXT/Clr:grey/, ~Credits/Q:50 ~Credits/Clr:grey/Q:70 ,490 ,120 ,370
4, https://rocket-league.com/trade/9f4601501962, | , https://my.playstation.com/profile/IIIXZ0Z0XIII, ~Interstellar/, ~Credits/Q:1500 ,1550 ,1500 ,50
20, https://rocket-league.com/trade/b7db15b2e1bc, | , https://my.playstation.com/profile/fayco41, ~Hypnotik/Clr:forest-green/ ~FSL/Clr:black/ ~Proteus/, ~Credits/Clr:forest-green/Q:200 ~Credits/Clr:black/Q:200 ~Credits/Q:30 ,590 ,430 ,160
38, https://rocket-league.com/trade/a6ade5aa93b8, | , https://my.playstation.com/profile/mmtyry, ~Fennec/Clr:purple/, ~Credits/Q:1450 ,1600 ,1450 ,150
15, https://rocket-league.com/trade/163fed18e35e, | , https://my.playstation.com/profile/buttchomper545, ~Propeller Inverted/Clr:black/ ~R3MX GXT/Clr:titanium-white/ ~Polyergic Inverted/Clr:sky-blue/ ~Hamster/Clr:grey/ ~HNY Inverted/Clr:black/, ~Credits/Clr:black/Q:40 ~Credits/Clr:titanium-white/Q:90 ~Credits/Clr:sky-blue/Q:70 ~Credits/Clr:grey/Q:40 ~Credits/Clr:black/Q:600 ,1025 ,840 ,185
9, https://rocket-league.com/trade/e009b03a0a85, | , https://my.playstation.com/profile/daddy-aaronnn, ~Credits/Q:3250, ~Octane/Clr:pink/ ~Zomba/Clr:sky-blue/ ,3250 ,2400 ,850
0, https://rocket-league.com/trade/26f040685720, | , https://my.playstation.com/profile/Blitz_UltimateYT, ~Credits/Q:5000, ~Octane/Clr:crimson/ ,5000 ,4700 ,300
19, https://rocket-league.com/trade/26f040685720, | , https://my.playstation.com/profile/Blitz_UltimateYT, ~Credits/Q:5000, ~Octane/Clr:crimson/ ,5000 ,4700 ,300
